stemmed_word,lemmatized_word
absentmindedli,absentminded
absolut,absolute
ac,ace
ach,ache
acecus,accuse
accid,accident
ador,adore
adventur,adventure
aesthet,aesthetic
ag,age
agoni,agony
agre,agree
aisl,aisle
alchemi,alchemy
aliv,alive
angri,angry
antiqu,antique
anymor,anymore
anticipatin,anticipate
apologi,apology
arriv,arrive
assum,assume
attent,attention
attitud,attitude
attiedtud,attitude
avenu,avenue
aw,awful
awak,awake
babi,baby
bacekroad,backroad
bacekseat,backseat
bacekyard,backyard
badli,badly
balanc,balance
balconi,balcony
battl,battle
beauti,beautiful
beautiedful,beautiful
beautifulli,beautiful
believ,believe
belov,belove
blacek,black
bleaceher,bleacher
bleedin,bleed
blurri,blurry
blushin,blush
bloodthirsti,bloodthirsty
bodi,body
bodie,body
boi,boy
bottl,bottle
bounc,bounce
braceelet,bracelet
breakabl,breakable
breakin,break
breez,breeze
bridg,bridge
bui,buy
buildien,building
burgundi,burgundy
buri,bury
busi,busy
bylin,byline
candi,candy
candl,candle
cannonbal,cannonball
captur,capture
carri,carry
cascad,cascade
castl,castle
catastroph,catastrophe
ceil,ceiling
celebr,celebrate
cemeteri,cemetery
centenni,centennial
chanc,chance
chandeli,chandelier
chang,change
changin,change
checkin,check
chevi,chevy
choic,choice
choos,choose
circl,circle
circu,circus
circumst,circumstance
citi,city
citied,city
clappin,clap
cliffsid,cliffside
closur,closure
collarbon,collarbone
colleg,college
comin,come
compani,company
complic,complicated
consequ,consequence
consol,consolation
conversatiedon,conversation
counti,county
countied,county
coupl,couple
cowboi,cowboy
crazi,crazy
creepin,creeping
cri,cry
crumbl,crumble
crumpl,crumple
crycket,cricket
cryin,crying
crynkl,crinkle
cur,curse
curv,curve
curserent,current
daddi,daddy
daddie,daddy
dai,day
danc,dance
dancin,dance
darl,darling
daysi,daisy
dazzl,dazzle
debutant,debutante
decad,decade
deceyesv,deceive
decid,decide
defens,defense
defin,define
deflat,deflate
delic,delicate
deserv,deserve
desper,desperate
destroi,destroy
di,die
dieamond,diamond
diefficult,difficult
diem,dim
diesappear,disappear
diesposit,disposition
diestress,distress
dieva,dive
dignifi,dignify
directli,directly
disapprov,disapprove
disast,disaster
discov,discover
distanc,distance
divid,divide
dizzi,dizzy
doorwai,doorway
dressin,dress
dri,dry
drivewai,driveway
drivin,drive
drwnin,drown
dy,die
dynasti,dynasty
easi,easy
easili,easy
easyli,easy
ei,eye
electr, electric
"""  electric""",electric
elev,elevator
empathet,empathetic
empir,empire
empti,empty
entwin,entwine
escap,escape
etern,eternal
everchang,everchanging
evermor,evermore
everyon,everyone
exagge,exaggerate
excitin,excite
exil,exile
exlov,exlover
ey,eyes
eyese,eyes
failur,failure
fairi,fairy
fairytal,fairytale
fallin,fall
fals,FALSE
famili,family
fanci,fancy
fantasi,fantasy
fastenin,fasten
favorit,favorite
feelin,feeling
feverishli,feverishly
feverishlying,feverishly
figur,figure
financ,finance
fireplac,fireplace
flashin,flashback
flashbacek,flashback
fli,fly
focu,focus
footnot,footnote
forc,force
forev,forever
forevermor,forevermore
foreyesegn,foreign
forgiv,forgive
frai,fray
freckl,freckle
freez,freeze
fuckin,fuck
funni,funny
furiou,furious
futur,future
gentl,gentle
getawai,getaway
ghostli,ghostly
ghostlying,ghostly
glaad,glad
glanc,glance
glamor,glamorous
glimps,glimpse
goin,go
goodby,goodbye
gorgeou,gorgeous
gracee,grace
graffito,graffiti
grai,gray
graviti,gravity
grudg,grudge
gui,guy
guilti,guilty
gushin,gush
halfwai,halfway
hallwai,hallway
handl,handle
handsom,handsome
hangin,hanging
happi,happy
headlin,headline
hedg,hedge
hesit,hesitate
histori,history
holi,holy
holidai,holiday
hollyingwood,hollywood
honei,honey
honestli,honest
honeyes,honey
honeyese,honey
hors,horse
hous,house
hypnot,hypnotize
ignorin,ignore
imagin,imagine
implod,implode
imposs,impossible
indiescret,indiscreet
indiffer,indifferent
innoc,innocence
insan,insane
insid,inside
insincer,insincere
interlop,interlope
invis,invisible
iisland,island
jungl,jungle
kaleidoscop,kaleidoscope
keepingg,keep
kei,key
keyes,key
kid,kidding
killin,kill
knuckl,knuckle
ladi,lady
lai,lay
laughin,laugh
lavend,lavender
leav,leave
leavee,left
legaci,legacy
legaceyes,legacy
legendari,legendary
lettin,let
li,lying
lifetim,lifetime
liv,live
livin,living
lone,lonely
loneli,lonely
lonelying,lonely
lonelyli,lonely
lonelyly,lonely
lov,love
lovee,love
lucki,lucky
lullabi,lullaby
ly,lying
lyin,lying
macehin,machine
mageyesc,magic
makebeliev,makebelieve
makin,make
maladie,malady
marri,marry
masterpiec,masterpiece
measur,measure
melancholia,melancholy
memori,memory
messag,message
middl,middle
midsiz,midsize
minut,minute
miracel,miracle
miracl,miracle
miseri,misery
mistak,mistake
mistied,misty
monei,money
moneyes,money
morn,morning
movi,movie
muddi,muddy
muddie,muddy
mysteri,mystery
mystifi,mystify
naïv,naïve
nasti,nasty
nerv,nerve
nobodi,nobody
notic,notice
notiedce,notice
notiedce,notice
obviou,obvious
optim,optimism
pagee,page
pai,pay
palac,palace
paralyingz,paralyze
paralyz,paralyze
parti,party
parttim,parttime
passeng,passenger
patienc,patience
paus,pause
payn,pain
peac,peace
pebbl,pebble
pedest,pedestrian
penni,penny
peopl,people
perfectli,perfect
pictur,picture
piec,piece
pierc,pierce
pirat,pirate
precipic,precipice
plagu,plague
plai,play
plaqu,plaque
playd,plaid
polit,polite
pourin,pour
pracetiedce,practice
prai,pray
preced,precede
precoci,precocious
preciou,precious
pretti,pretty
prettied,pretty
prettyest,pretty
princ,prince
princeess,princess
promis,promise
propheci,prophecy
proposit,proposition
purpos,purpose
raceyesst,racist
radianc,radiance
radieo,radio
raini,rain
rattl,rattle
readi,ready
readie,ready
realiti,reality
realiz,realize
recal,recall
recogn,recognize
refram,reframe
refriger,refrigerator
reserv,reserve
revelri,revelry
rememb,remember
remov,remove
reput,reputation
resend,resentment
reveng,revenge
revolut,revolution
ridin,ride
revolv,revolve
riddl,riddle
ringin,ring
rollercoast,rollercoaster
romanc,romance
romant,romantic
romantiedc,romantic
runnin,run
sabatog,sabatoge
sacerif,sacrifice
sacr,sacred
sadli,sad
saintli,saint
sayin,say
screamin,scream
scrutini,scrutiny
searchin,search
sellin,sell
sens,sense
septemb,september
serv,serve
shini,shiny
silenc,silence
simpl,simple
singin,sing
singl,single
sittin,sit
situat,situation
sleev,sleeve
sleepin,sleep
slidin,slide
slippin,slip
slipping,slip
sneakin,sneak
snuck,sneak
solv,solve
somedai,someday
someon,someone
someth,something
somethin,something
spacee,space
sparkl,sparkle
speakin,speak
specul,speculate
spin-dry,dry
stai,stay
staircas,staircase
stairwel,stairwell
standin,stand
starin,stare
starri,starry
starv,starve
statu,statue
stayn,stain
stayr,stair
stiedfl,stifle
stori,story
strai,stray
strang,strange
strateg,strategy
stunnin,stunning
suddenli,suddenly
sunni,sunny
sunshin,sunshine
suppos,supposed
surfac,surface
surpris,surprise
surviv,survive
sympathi,sympathy
symphoni,symphony
tabl,table
talkin,talk
tappin,tap
tast,taste
teaceh,teach
teebal,teeball
templ,temple
temporari,temporary
temptat,temptation
teenag,teenage
tellin,tell
tendenc,tendency
terribli,terrible
terribli,terrible
terrifi,terrify
throttl,throtle
throwin,throw
ti,tied
tiedme,time
tiedny,tiny
tiedre,tired
tipto,tiptoe
tongueti,tonguetied
toi,toy
toler,tolerate
tragedi,tragedy
tragedie,tragedy
trampl,trample
translat,translate
troubl,trouble
turnin,turn
unbeliev,unbelievable
unbelieve,unbelievable
undon,undone
upstat,upstate
usin,use
vaceant,vacant
valleyes,valley
vendettata,vendetta
villag,village
voic,voice
wakin,wake
walkin,walk
wast,waste
watchin,watching
weari,weary
weyesght,weight
worri,worry
wors,worse
worthwhil,worthwhile
wrinkl,winkle
yesterdai,yesterday
